Page	Channel	Label	MinValue	MaxValue
0	Y(89)	89Y	0.00	19.00
1	Cd(112)	112Cd	0.00	178.00
2	In(113)	CD45	0.00	4711.00
3	Cd(114)	114Cd	0.00	173.00
4	In(115)	TE7	0.00	2042.00
5	I(127)	127I	0.00	161.00
6	Xe(129)	129Xe	0.00	150.00
7	Xe(131)		0.00	134.00
8	Ba(138)	138Ba	0.00	4586.00
9	Ce(140)		0.00	202.00
10	Pr(141)	aSMA	0.00	117050.00
11	Nd(142)	alpha_Sarcoglycan	0.00	937.00
12	Nd(143)	CollagenVI	0.00	523.00
13	Nd(144)	gamma_Sarcoglycan	0.00	102.00
14	Nd(145)	Perillipin	0.00	7816.00
15	Nd(146)	delta_Sarcoglycan	0.00	351.00
16	Sm(147)	CD163	0.00	1386.00
17	Nd(148)	TIE2	0.00	2922.00
18	Sm(149)	laminin	0.00	4976.00
19	Sm(150)	dpp4	0.00	200.00
20	Eu(151)	CD31	0.00	90806.00
21	Sm(152)	CollagenIII	0.00	8801.00
22	Eu(153)	CD99	0.00	625.00
23	Sm(154)	TGFb	0.00	1300.00
24	Gd(155)	ER_TR7	0.00	34.00
25	Gd(156)	CD36	0.00	787.00
26	Gd(157)	pSTAT3	0.00	332.00
27	Gd(158)	CD90	0.00	261.00
28	Tb(159)	CD68	0.00	1521.00
29	Gd(160)	CXCL14	0.00	285.00
30	Dy(161)	CD9	0.00	873.00
31	Dy(162)	PDGFRa	0.00	6882.00
32	Dy(163)	CD73	0.00	353.00
33	Dy(164)	Arg1	0.00	444.00
34	Ho(165)	FSP1	0.00	2656.00
35	Er(166)	CTGF	0.00	11427.00
36	Er(167)	PDGF_AA	0.00	10471.00
37	Er(168)	CD206	0.00	2872.00
38	Tm(169)	Collagen_Type_1	0.00	20616.00
39	Er(170)	beta_Sarcoglycan	0.00	810.00
40	Yb(171)	CXCL5	0.00	124.00
41	Yb(172)	CD302	0.00	532.00
42	Yb(173)	CD164	0.00	35509.00
43	Yb(174)	MYH3	0.00	1956.00
44	Lu(175)	CD44	0.00	221.00
45	Yb(176)	CD56	0.00	138.00
46	Os(189)		0.00	9.00
47	BCKG(190)	190BCKG	0.00	9.00
48	Ir(191)	DNA1	0.00	1358.00
49	Pt(192)	192Pt	0.00	58.00
50	Ir(193)	DNA2	0.00	2481.00
51	Pt(194)	Dystrophin	0.00	194.00
52	Pt(195)	195Pt	0.00	179.00
53	Pt(196)	196Pt	0.00	136.00
54	Pt(198)	198Pt	0.00	41.00
55	Hg(202)	202Hg	0.00	28.00
56	Pb(208)	208Pb	0.00	60358.00
57	Bi(209)	209Bi	0.00	7493.00
