Page	Channel	Label	MinValue	MaxValue
0	Y(89)	89Y	0.00	43.00
1	Cd(112)	112Cd	0.00	528.00
2	In(113)	CD45	0.00	6188.00
3	Cd(114)	114Cd	0.00	340.00
4	In(115)	TE7	0.00	1752.00
5	I(127)	127I	0.00	7081.00
6	Xe(129)	129Xe	0.00	210.00
7	Xe(131)		0.00	180.00
8	Ba(138)	138Ba	0.00	14392.00
9	Ce(140)		0.00	363.00
10	Pr(141)	aSMA	0.00	246710.00
11	Nd(142)	alpha_Sarcoglycan	0.00	1111.00
12	Nd(143)	CollagenVI	0.00	542.00
13	Nd(144)	gamma_Sarcoglycan	0.00	728.00
14	Nd(145)	Perillipin	0.00	306.00
15	Nd(146)	delta_Sarcoglycan	0.00	658.00
16	Sm(147)	CD163	0.00	6264.00
17	Nd(148)	TIE2	0.00	2518.00
18	Sm(149)	laminin	0.00	5013.00
19	Sm(150)	dpp4	0.00	243.00
20	Eu(151)	CD31	0.00	40205.00
21	Sm(152)	CollagenIII	0.00	7102.00
22	Eu(153)	CD99	0.00	677.00
23	Sm(154)	TGFb	0.00	2675.00
24	Gd(155)	ER_TR7	0.00	169.00
25	Gd(156)	CD36	0.00	2895.00
26	Gd(157)	pSTAT3	0.00	711.00
27	Gd(158)	CD90	0.00	1038.00
28	Tb(159)	CD68	0.00	1921.00
29	Gd(160)	CXCL14	0.00	435.00
30	Dy(161)	CD9	0.00	973.00
31	Dy(162)	PDGFRa	0.00	935.00
32	Dy(163)	CD73	0.00	104.00
33	Dy(164)	Arg1	0.00	1193.00
34	Ho(165)	FSP1	0.00	2040.00
35	Er(166)	CTGF	0.00	2415.00
36	Er(167)	PDGF_AA	0.00	10232.00
37	Er(168)	CD206	0.00	1848.00
38	Tm(169)	Collagen_Type_1	0.00	17729.00
39	Er(170)	beta_Sarcoglycan	0.00	3149.00
40	Yb(171)	CXCL5	0.00	22.00
41	Yb(172)	CD302	0.00	440.00
42	Yb(173)	CD164	0.00	2135.00
43	Yb(174)	MYH3	0.00	570.00
44	Lu(175)	CD44	0.00	588.00
45	Yb(176)	CD56	0.00	254.00
46	Os(189)		0.00	11.00
47	BCKG(190)	190BCKG	0.00	12.00
48	Ir(191)	DNA1	0.00	1573.00
49	Pt(192)	192Pt	0.00	35.00
50	Ir(193)	DNA2	0.00	2949.00
51	Pt(194)	Dystrophin	0.00	48.00
52	Pt(195)	195Pt	0.00	40.00
53	Pt(196)	196Pt	0.00	32.00
54	Pt(198)	198Pt	0.00	327.00
55	Hg(202)	202Hg	0.00	30.00
56	Pb(208)	208Pb	0.00	20739.00
57	Bi(209)	209Bi	0.00	17392.00
